Age,Experience,TrainingHours,PerformanceRating,Promoted
24,2,20,3,No
28,4,35,4,Yes
31,6,40,5,Yes
26,3,18,3,No
35,10,45,5,Yes
29,5,30,4,Yes
40,15,50,5,Yes
27,4,22,3,No
33,8,38,4,Yes
25,2,15,2,No
38,12,48,5,Yes
30,6,32,4,Yes
42,18,55,5,Yes
23,1,12,2,No
36,11,46,5,Yes
27,3,24,3,No
34,9,42,5,Yes
29,5,31,4,Yes
26,2,17,2,No
37,12,47,5,Yes
32,7,36,4,Yes
24,1,14,2,No
41,16,53,5,Yes
28,4,28,3,No
35,10,44,5,Yes
30,6,34,4,Yes
39,13,49,5,Yes
25,2,16,2,No
33,8,39,4,Yes
27,3,21,3,No
36,11,45,5,Yes
31,7,37,4,Yes
23,1,10,2,No
40,14,51,5,Yes
29,5,29,4,Yes
26,2,18,3,No
38,12,48,5,Yes
34,9,41,5,Yes
28,4,26,3,No
42,17,54,5,Yes
30,6,33,4,Yes
24,2,15,2,No
37,11,46,5,Yes
32,7,35,4,Yes
25,2,19,3,No
39,13,50,5,Yes
35,10,43,5,Yes
27,3,22,3,No
41,15,52,5,Yes
29,5,30,4,Yes
26,2,17,2,No
36,11,45,5,Yes
31,6,38,4,Yes
23,1,11,2,No
40,14,50,5,Yes
28,4,27,3,No
34,8,40,4,Yes
30,6,34,4,Yes
38,12,47,5,Yes
25,2,16,2,No
33,8,39,4,Yes
27,3,23,3,No
42,18,55,5,Yes
35,10,44,5,Yes
29,5,31,4,Yes
24,1,13,2,No
37,11,46,5,Yes
32,7,36,4,Yes
26,2,18,3,No
39,13,49,5,Yes
31,6,37,4,Yes
23,1,12,2,No
41,16,53,5,Yes
28,4,28,3,No
36,11,45,5,Yes
30,6,33,4,Yes
25,2,17,2,No
40,15,51,5,Yes
34,9,42,5,Yes
27,3,21,3,No
38,12,48,5,Yes
29,5,30,4,Yes
24,2,14,2,No
35,10,43,5,Yes
32,7,35,4,Yes
26,2,19,3,No
42,17,54,5,Yes
31,6,38,4,Yes
23,1,10,2,No
39,13,50,5,Yes
28,4,29,3,No
37,11,46,5,Yes
30,6,34,4,Yes
25,2,16,2,No
41,15,52,5,Yes
33,8,40,4,Yes
27,3,22,3,No
36,11,45,5,Yes
29,5,31,4,Yes
24,1,12,2,No
40,14,50,5,Yes
35,10,44,5,Yes
31,7,39,4,Yes
26,2,18,3,No
