Age,Salary,Experience,Overtime,DistanceFromHome,Attrition
25,35000,2,Yes,10,Yes
30,50000,5,No,5,No
28,42000,4,Yes,12,Yes
40,80000,12,No,4,No
35,65000,8,No,6,No
27,39000,3,Yes,15,Yes
45,90000,18,No,3,No
29,45000,5,Yes,14,Yes
33,60000,7,No,8,No
31,55000,6,No,7,No
26,37000,2,Yes,18,Yes
38,72000,10,No,5,No
41,85000,15,No,4,No
24,32000,1,Yes,20,Yes
36,68000,9,No,6,No
32,58000,6,No,9,No
23,30000,1,Yes,22,Yes
34,61000,8,No,7,No
37,70000,11,No,5,No
28,41000,3,Yes,16,Yes
39,76000,13,No,4,No
27,40000,3,Yes,17,Yes
42,87000,16,No,3,No
29,46000,4,Yes,13,Yes
35,64000,8,No,6,No
31,56000,6,No,8,No
26,36000,2,Yes,19,Yes
44,91000,19,No,2,No
38,73000,10,No,5,No
30,51000,5,Yes,11,Yes
33,59000,7,No,7,No
24,34000,1,Yes,21,Yes
40,82000,14,No,4,No
36,69000,9,No,6,No
27,38000,2,Yes,16,Yes
43,88000,17,No,3,No
29,47000,5,Yes,12,Yes
34,62000,8,No,7,No
32,57000,6,No,9,No
25,35500,2,Yes,18,Yes
39,78000,12,No,4,No
41,86000,15,No,5,No
28,43000,4,Yes,15,Yes
37,71000,11,No,6,No
26,36500,2,Yes,20,Yes
35,66000,9,No,5,No
30,52000,5,No,8,No
23,31000,1,Yes,23,Yes
42,89000,16,No,3,No
31,54500,6,No,7,No
46,93000,20,No,2,No
27,40500,3,Yes,18,Yes
34,62500,8,No,6,No
29,48000,5,Yes,14,Yes
38,74000,11,No,5,No
25,34500,2,Yes,19,Yes
41,87500,15,No,4,No
33,60500,7,No,8,No
30,53000,6,No,7,No
24,33500,1,Yes,22,Yes
37,71500,10,No,5,No
28,44000,4,Yes,13,Yes
43,89500,17,No,3,No
35,67000,9,No,6,No
26,37500,2,Yes,20,Yes
39,79000,13,No,4,No
31,56500,6,No,8,No
27,39500,3,Yes,16,Yes
44,91500,18,No,2,No
32,59000,7,No,7,No
25,36000,2,Yes,18,Yes
40,83000,14,No,4,No
29,49000,5,Yes,12,Yes
36,70000,10,No,6,No
23,31500,1,Yes,24,Yes
42,90000,16,No,3,No
34,63500,8,No,7,No
30,54000,5,No,9,No
28,43500,4,Yes,15,Yes
45,92000,19,No,2,No
33,61500,7,No,6,No
26,38500,2,Yes,21,Yes
38,75000,11,No,5,No
31,57500,6,No,8,No
27,41000,3,Yes,17,Yes
41,88000,15,No,4,No
35,67500,9,No,5,No
24,32500,1,Yes,23,Yes
39,80000,13,No,4,No
32,60000,7,No,7,No
29,50000,5,Yes,13,Yes
37,72500,10,No,6,No
25,36500,2,Yes,19,Yes
43,90500,17,No,3,No
34,64500,8,No,6,No
30,55000,6,No,8,No
28,44500,4,Yes,16,Yes
46,94000,20,No,2,No
26,39000,3,Yes,18,Yes
36,71000,10,No,5,No
