CGPA,Internships,Projects,Communication,Placed
6.8,1,2,Average,No
7.5,2,4,Good,Yes
8.1,3,5,Excellent,Yes
5.9,0,1,Poor,No
8.7,4,6,Excellent,Yes
7.2,2,3,Good,Yes
6.4,1,2,Average,No
9.1,5,8,Excellent,Yes
7.8,3,5,Good,Yes
5.8,0,1,Poor,No
8.3,3,6,Excellent,Yes
6.9,1,3,Average,No
7.6,2,4,Good,Yes
9.3,5,9,Excellent,Yes
6.1,0,2,Average,No
7.0,1,3,Average,No
8.0,3,5,Excellent,Yes
6.5,1,2,Average,No
7.4,2,4,Good,Yes
8.8,4,7,Excellent,Yes
5.7,0,1,Poor,No
6.3,1,2,Average,No
7.7,2,5,Good,Yes
8.5,4,6,Excellent,Yes
6.6,1,3,Average,No
7.9,3,5,Good,Yes
8.2,3,6,Excellent,Yes
5.6,0,1,Poor,No
6.2,1,2,Average,No
9.0,5,8,Excellent,Yes
7.1,2,3,Good,Yes
8.4,4,6,Excellent,Yes
6.7,1,3,Average,No
7.3,2,4,Good,Yes
8.6,4,7,Excellent,Yes
5.5,0,1,Poor,No
6.0,1,2,Average,No
7.8,3,5,Good,Yes
8.9,5,8,Excellent,Yes
6.4,1,3,Average,No
7.5,2,4,Good,Yes
8.3,3,6,Excellent,Yes
5.9,0,1,Poor,No
6.8,1,2,Average,No
9.2,5,9,Excellent,Yes
7.2,2,3,Good,Yes
8.1,3,5,Excellent,Yes
6.3,1,2,Average,No
7.6,2,4,Good,Yes
8.7,4,7,Excellent,Yes
5.8,0,1,Poor,No
6.5,1,2,Average,No
7.9,3,5,Good,Yes
8.4,4,6,Excellent,Yes
6.9,1,3,Average,No
7.4,2,4,Good,Yes
8.8,5,8,Excellent,Yes
6.1,1,2,Average,No
7.7,3,5,Good,Yes
8.5,4,6,Excellent,Yes
5.7,0,1,Poor,No
6.6,1,3,Average,No
9.1,5,9,Excellent,Yes
7.3,2,4,Good,Yes
8.2,3,6,Excellent,Yes
6.0,0,2,Average,No
7.8,3,5,Good,Yes
8.6,4,7,Excellent,Yes
5.6,0,1,Poor,No
6.2,1,2,Average,No
9.0,5,8,Excellent,Yes
7.1,2,3,Good,Yes
8.3,3,6,Excellent,Yes
6.7,1,3,Average,No
7.5,2,4,Good,Yes
8.9,5,8,Excellent,Yes
5.8,0,1,Poor,No
6.4,1,2,Average,No
7.9,3,5,Good,Yes
8.7,4,7,Excellent,Yes
6.3,1,3,Average,No
7.6,2,4,Good,Yes
8.4,4,6,Excellent,Yes
5.9,0,1,Poor,No
6.8,1,2,Average,No
9.3,5,9,Excellent,Yes
7.2,2,3,Good,Yes
8.1,3,5,Excellent,Yes
6.5,1,2,Average,No
7.7,3,5,Good,Yes
8.8,4,7,Excellent,Yes
5.7,0,1,Poor,No
6.1,1,2,Average,No
7.4,2,4,Good,Yes
8.5,4,6,Excellent,Yes
6.9,1,3,Average,No
7.8,3,5,Good,Yes
8.2,3,6,Excellent,Yes
6.0,0,2,Average,No
9.0,5,8,Excellent,Yes
7.3,2,4,Good,Yes
8.6,4,7,Excellent,Yes
6.4,1,3,Average,No
