EmployeeID,Age,Experience,Department,ProjectsCompleted,PerformanceScore
E001,25,2,IT,3,72
E002,30,5,HR,6,85
E003,28,4,Finance,5,80
E004,35,8,IT,10,95
E005,40,12,Sales,15,98
E006,26,3,IT,4,75
E007,32,6,Finance,8,88
E008,29,5,Sales,6,82
E009,45,15,HR,18,99
E010,38,10,IT,12,93
E011,27,2,Finance,3,70
E012,31,7,Sales,9,89
E013,36,11,IT,14,96
E014,42,16,HR,20,100
E015,24,1,IT,2,68
E016,33,7,Finance,9,90
E017,29,4,HR,5,78
E018,41,14,Sales,17,97
E019,37,9,IT,11,91
E020,26,2,Finance,4,73
E021,34,8,Sales,10,92
E022,39,12,HR,15,95
E023,28,3,IT,4,76
E024,43,17,Finance,19,99
E025,30,5,Sales,7,84
E026,27,3,HR,4,74
E027,35,9,IT,12,94
E028,44,18,Sales,20,100
E029,32,6,Finance,8,87
E030,25,2,HR,3,71
E031,38,11,IT,13,95
E032,29,4,Sales,6,81
E033,40,13,Finance,16,98
E034,31,6,HR,8,86
E035,36,10,IT,12,93
E036,24,1,Sales,2,69
E037,42,15,Finance,18,99
E038,33,7,IT,9,89
E039,28,3,HR,5,77
E040,39,12,Sales,15,96
E041,27,2,IT,3,72
E042,34,8,Finance,10,91
E043,45,20,HR,22,100
E044,30,5,Sales,7,83
E045,37,10,IT,13,94
E046,26,2,Finance,4,74
E047,41,14,Sales,17,98
E048,35,9,HR,11,92
E049,29,4,IT,5,79
E050,38,11,Finance,14,95
E051,31,6,Sales,8,87
E052,24,1,HR,2,67
E053,43,17,IT,19,99
E054,28,3,Finance,5,76
E055,36,10,Sales,13,94
E056,32,7,HR,9,88
E057,25,2,IT,3,71
E058,40,13,Finance,16,97
E059,34,8,Sales,10,91
E060,27,3,HR,4,75
E061,39,12,IT,15,96
E062,30,5,Finance,6,84
E063,44,18,Sales,21,100
E064,33,7,HR,9,89
E065,26,2,IT,4,73
E066,41,15,Finance,18,98
E067,35,9,Sales,12,93
E068,29,4,HR,5,80
E069,37,10,IT,13,95
E070,24,1,Finance,2,68
E071,42,16,Sales,19,99
E072,31,6,HR,8,86
E073,28,3,IT,4,77
E074,38,11,Finance,14,94
E075,34,8,Sales,11,92
E076,27,2,HR,3,72
E077,45,20,IT,22,100
E078,30,5,Finance,7,85
E079,36,10,Sales,13,95
E080,32,7,HR,9,88
E081,25,2,IT,3,70
E082,40,14,Finance,17,98
E083,35,9,Sales,12,93
E084,29,4,HR,5,79
E085,43,18,IT,20,99
E086,26,2,Finance,4,74
E087,39,12,Sales,15,96
E088,33,7,HR,9,90
E089,28,3,IT,4,76
E090,41,15,Finance,18,99
E091,31,6,Sales,8,87
E092,24,1,HR,2,66
E093,37,10,IT,13,94
E094,34,8,Finance,11,91
E095,27,2,Sales,3,73
E096,44,19,HR,21,100
E097,30,5,IT,7,84
E098,38,11,Finance,14,95
E099,35,9,Sales,12,92
E100,42,16,HR,19,99
