CustomerID,Age,Income,CreditScore,LoanAmount,Default
C001,25,30000,620,200000,Yes
C002,32,55000,720,350000,No
C003,40,85000,780,500000,No
C004,28,38000,610,250000,Yes
C005,45,92000,810,650000,No
C006,35,60000,700,400000,No
C007,26,32000,590,220000,Yes
C008,50,110000,830,700000,No
C009,30,47000,680,320000,No
C010,29,36000,600,240000,Yes
C011,42,87000,790,560000,No
C012,33,52000,710,380000,No
C013,27,34000,610,230000,Yes
C014,38,75000,760,480000,No
C015,31,49000,690,340000,No
C016,24,29000,580,180000,Yes
C017,36,64000,730,420000,No
C018,41,89000,800,580000,No
C019,27,35000,605,210000,Yes
C020,48,98000,820,680000,No
C021,34,61000,715,390000,No
C022,29,37000,615,260000,Yes
C023,46,95000,805,620000,No
C024,37,72000,750,460000,No
C025,26,31000,595,200000,Yes
C026,39,78000,770,510000,No
C027,32,53000,705,360000,No
C028,28,39000,620,250000,Yes
C029,44,90000,800,600000,No
C030,30,45000,670,310000,No
C031,25,30000,590,190000,Yes
C032,43,86000,790,570000,No
C033,35,59000,700,400000,No
C034,27,34000,600,220000,Yes
C035,49,102000,825,690000,No
C036,38,74000,755,470000,No
C037,31,50000,685,330000,No
C038,29,36000,610,240000,Yes
C039,47,97000,815,640000,No
C040,33,54000,710,370000,No
C041,26,32000,600,210000,Yes
C042,45,91000,805,610000,No
C043,36,62000,720,410000,No
C044,28,38000,615,250000,Yes
C045,50,108000,830,710000,No
C046,39,79000,775,520000,No
C047,30,47000,675,320000,No
C048,24,28000,575,180000,Yes
C049,41,88000,795,560000,No
C050,34,57000,700,390000,No
C051,27,35000,605,220000,Yes
C052,46,94000,810,630000,No
C053,37,73000,760,480000,No
C054,29,40000,625,260000,Yes
C055,43,89000,800,590000,No
C056,32,52000,705,350000,No
C057,25,31000,590,200000,Yes
C058,48,99000,820,670000,No
C059,35,61000,715,400000,No
C060,28,39000,620,250000,Yes
C061,44,92000,810,620000,No
C062,36,65000,730,430000,No
C063,26,33000,600,210000,Yes
C064,40,84000,785,540000,No
C065,31,50000,690,340000,No
C066,27,34000,610,230000,Yes
C067,49,105000,825,700000,No
C068,38,76000,765,490000,No
C069,30,46000,680,320000,No
C070,24,29000,580,190000,Yes
C071,42,87000,790,570000,No
C072,34,56000,705,380000,No
C073,28,37000,615,240000,Yes
C074,47,96000,815,650000,No
C075,39,80000,780,520000,No
C076,29,41000,630,270000,Yes
C077,45,93000,805,610000,No
C078,33,55000,710,370000,No
C079,26,32000,595,210000,Yes
C080,50,109000,830,720000,No
C081,37,74000,755,480000,No
C082,31,49000,690,340000,No
C083,27,35000,605,220000,Yes
C084,43,90000,800,600000,No
C085,35,60000,710,400000,No
C086,29,39000,620,250000,Yes
C087,46,95000,810,630000,No
C088,38,77000,770,500000,No
C089,30,47000,680,320000,No
C090,25,30000,590,200000,Yes
C091,41,86000,790,560000,No
C092,34,58000,705,390000,No
C093,28,38000,615,250000,Yes
C094,48,100000,820,680000,No
C095,36,63000,725,420000,No
C096,27,34000,600,220000,Yes
C097,44,91000,805,610000,No
C098,32,53000,710,360000,No
C099,26,32000,595,210000,Yes
C100,49,107000,825,700000,No
