Brand,Year,Kilometers,Fuel,Transmission,Price
Hyundai,2020,30000,Petrol,Manual,800000
Honda,2019,45000,Diesel,Automatic,950000
Toyota,2021,20000,Petrol,Automatic,1400000
Maruti,2018,60000,Petrol,Manual,550000
BMW,2022,10000,Diesel,Automatic,4200000
Audi,2021,18000,Petrol,Automatic,3900000
Kia,2023,8000,Petrol,Manual,1250000
Tata,2020,25000,Diesel,Manual,900000
Mahindra,2019,50000,Diesel,Manual,850000
Skoda,2022,12000,Petrol,Automatic,2100000
Ford,2018,70000,Diesel,Manual,650000
MG,2023,5000,Electric,Automatic,2600000
Renault,2019,55000,Petrol,Manual,600000
Volkswagen,2020,28000,Petrol,Automatic,1350000
Nissan,2021,18000,Petrol,Manual,950000
Ford,2019,65000,Petrol,Manual,700000
MG,2022,12000,Electric,Automatic,2500000
Renault,2020,42000,Petrol,Manual,650000
Volkswagen,2021,22000,Diesel,Automatic,1450000
Nissan,2018,58000,Petrol,Manual,620000
Hyundai,2023,9000,Petrol,Automatic,1350000
Honda,2022,18000,Petrol,Automatic,1550000
Toyota,2020,35000,Diesel,Manual,1300000
Maruti,2021,20000,CNG,Manual,850000
BMW,2023,5000,Petrol,Automatic,5200000
Audi,2022,15000,Diesel,Automatic,4300000
Kia,2021,26000,Petrol,Automatic,1450000
Tata,2019,55000,Diesel,Manual,780000
Mahindra,2020,40000,Diesel,Automatic,1250000
Skoda,2021,24000,Petrol,Automatic,1900000
Ford,2017,82000,Diesel,Manual,500000
MG,2024,3000,Electric,Automatic,3200000
Renault,2022,15000,Petrol,Manual,900000
Volkswagen,2019,45000,Diesel,Automatic,1150000
Nissan,2020,30000,Petrol,Manual,800000
Hyundai,2018,70000,Diesel,Manual,650000
Honda,2021,25000,Petrol,Automatic,1250000
Toyota,2023,7000,Hybrid,Automatic,2400000
Maruti,2019,45000,Petrol,Manual,620000
BMW,2021,18000,Diesel,Automatic,4100000
Audi,2020,28000,Petrol,Automatic,3600000
Kia,2022,12000,Petrol,Manual,1300000
Tata,2023,6000,Electric,Automatic,1800000
Mahindra,2021,22000,Diesel,Manual,1450000
Skoda,2020,35000,Petrol,Automatic,1700000
Ford,2020,38000,Petrol,Manual,850000
MG,2021,18000,Petrol,Automatic,1900000
Renault,2018,65000,Diesel,Manual,520000
Volkswagen,2022,10000,Petrol,Automatic,1850000
Nissan,2023,5000,Electric,Automatic,2200000
Hyundai,2021,25000,Petrol,Manual,980000
Honda,2020,36000,Diesel,Automatic,1100000
Toyota,2019,48000,Petrol,Manual,1050000
Maruti,2022,12000,CNG,Manual,900000
BMW,2024,2000,Electric,Automatic,5900000
Audi,2023,8000,Petrol,Automatic,5000000
Kia,2020,30000,Diesel,Manual,1100000
Tata,2021,18000,Petrol,Manual,950000
Mahindra,2022,12000,Diesel,Automatic,1800000
Skoda,2019,50000,Petrol,Manual,1200000
Ford,2021,22000,Petrol,Automatic,1050000
MG,2020,26000,Petrol,Manual,1500000
Renault,2021,24000,Petrol,Automatic,980000
Volkswagen,2018,68000,Diesel,Manual,850000
Nissan,2019,42000,Petrol,Manual,700000
Hyundai,2024,4000,Electric,Automatic,2100000
Honda,2023,10000,Hybrid,Automatic,1850000
Toyota,2022,15000,Hybrid,Automatic,2200000
Maruti,2020,32000,Petrol,Manual,720000
BMW,2019,42000,Diesel,Automatic,3400000
Audi,2018,60000,Diesel,Automatic,3000000
Kia,2019,50000,Petrol,Manual,900000
Tata,2018,72000,Diesel,Manual,600000
Mahindra,2023,8000,Petrol,Automatic,2100000
Skoda,2024,3000,Petrol,Automatic,2800000
Ford,2022,15000,Petrol,Manual,1200000
MG,2019,42000,Petrol,Automatic,1400000
Renault,2023,8000,Electric,Automatic,1700000
Volkswagen,2020,27000,Petrol,Manual,1200000
Nissan,2021,20000,Petrol,Automatic,1100000
Hyundai,2019,48000,CNG,Manual,720000
Honda,2018,65000,Diesel,Manual,750000
Toyota,2024,2000,Hybrid,Automatic,2800000
Maruti,2023,6000,Petrol,Manual,980000
BMW,2020,26000,Petrol,Automatic,4300000
Audi,2021,20000,Electric,Automatic,4700000
Kia,2018,70000,Diesel,Manual,800000
Tata,2022,10000,Electric,Automatic,2000000
Mahindra,2019,50000,Petrol,Manual,980000
Skoda,2023,9000,Petrol,Automatic,2400000
Ford,2023,7000,Petrol,Automatic,1450000
MG,2018,62000,Diesel,Manual,900000
Renault,2024,3000,Electric,Automatic,2000000
Volkswagen,2023,8000,Petrol,Automatic,2100000
Nissan,2022,12000,Petrol,Manual,1300000
Hyundai,2022,14000,Diesel,Automatic,1250000
Honda,2024,2000,Petrol,Automatic,1900000
Toyota,2018,70000,Diesel,Manual,980000
Maruti,2024,1500,CNG,Manual,1100000
BMW,2022,9000,Electric,Automatic,5600000
Audi,2024,2500,Electric,Automatic,6100000
Kia,2024,3000,Petrol,Automatic,1800000
Tata,2024,2000,Electric,Automatic,2300000
Mahindra,2024,4000,Diesel,Automatic,2400000
Skoda,2022,11000,Petrol,Automatic,2200000
