Age,Income,Visits,DiscountUsed,Purchased
22,25000,2,Yes,Yes
35,55000,5,No,No
28,40000,4,Yes,Yes
45,85000,8,No,Yes
31,48000,3,No,No
26,32000,5,Yes,Yes
40,72000,7,No,Yes
29,39000,4,Yes,Yes
50,92000,9,No,Yes
33,51000,5,No,No
24,28000,3,Yes,Yes
38,67000,6,No,Yes
27,36000,4,Yes,Yes
42,80000,7,No,Yes
30,45000,5,No,No
25,30000,2,Yes,Yes
36,60000,6,No,Yes
41,78000,7,No,Yes
23,27000,3,Yes,Yes
47,90000,8,No,Yes
32,52000,4,No,No
29,41000,5,Yes,Yes
44,83000,7,No,Yes
34,56000,5,No,No
26,34000,3,Yes,Yes
39,69000,6,No,Yes
28,38000,4,Yes,Yes
48,91000,9,No,Yes
31,47000,4,No,No
27,35000,5,Yes,Yes
43,81000,7,No,Yes
30,46000,5,No,No
24,29000,2,Yes,Yes
37,65000,6,No,Yes
45,87000,8,No,Yes
29,40000,4,Yes,Yes
33,53000,5,No,No
26,33000,3,Yes,Yes
40,74000,7,No,Yes
28,37000,4,Yes,Yes
49,94000,9,No,Yes
35,58000,5,No,No
23,26000,2,Yes,Yes
38,68000,6,No,Yes
41,79000,7,No,Yes
27,36000,4,Yes,Yes
46,89000,8,No,Yes
32,50000,5,No,No
25,31000,3,Yes,Yes
39,71000,6,No,Yes
28,39000,4,Yes,Yes
50,95000,9,No,Yes
34,54000,5,No,No
24,28000,3,Yes,Yes
37,64000,6,No,Yes
42,82000,7,No,Yes
29,41000,4,Yes,Yes
31,49000,5,No,No
26,32000,3,Yes,Yes
44,84000,8,No,Yes
35,57000,5,No,No
22,25000,2,Yes,Yes
38,69000,6,No,Yes
47,91000,8,No,Yes
30,45000,4,Yes,Yes
33,52000,5,No,No
27,34000,3,Yes,Yes
41,77000,7,No,Yes
29,40000,4,Yes,Yes
48,93000,9,No,Yes
36,61000,6,No,Yes
25,30000,2,Yes,Yes
39,70000,6,No,Yes
43,85000,7,No,Yes
28,38000,4,Yes,Yes
32,51000,5,No,No
26,33000,3,Yes,Yes
45,88000,8,No,Yes
34,55000,5,No,No
23,27000,2,Yes,Yes
37,66000,6,No,Yes
40,73000,7,No,Yes
29,39000,4,Yes,Yes
49,92000,9,No,Yes
31,48000,5,No,No
24,29000,3,Yes,Yes
38,68000,6,No,Yes
42,81000,7,No,Yes
27,35000,4,Yes,Yes
46,90000,8,No,Yes
35,56000,5,No,No
22,26000,2,Yes,Yes
39,72000,6,No,Yes
44,86000,8,No,Yes
30,46000,5,No,No
28,40000,4,Yes,Yes
33,53000,5,No,No
25,31000,3,Yes,Yes
41,78000,7,No,Yes
47,93000,9,No,Yes
29,42000,4,Yes,Yes
36,62000,6,No,Yes
